	target_text	input_text	prefix
180	Does this product help at all in reducing the appearance of dark circles?	Increases the content of collagen in the skin and provides a strong lifting effect, improves elasticity, smooths wrinkles and intensely moisturizes, slows the aging process and improves blood circulation. As a result, the skin looks rejuvenated and full with vital energy. Biological gold creates the conduction effect and improves skin's ability to absorb active herbal ingredients, ensures long-term moisturizing effect, helps to regenerate skin cells, protects the skin from wrinkle's formation and slows the aging process. It is recommended to apply cosmetics based on bio-gold for those who are 35 years old or older.	ask_question
18	Could this product be used to lighten skin?	Water-Rosewater Heritage Store 8 oz Liquid	ask_question
220	Hi, what does the 80% stand for? What is the silver content (I guess it would be in ppm)?	Optimised Energetics are committed to offering the finest quality Colloidal Silver products with the greatest choice and value anywhere. We use medical grade equipment in our production process which ensures a well regulated and consistent ionic and colloidal solution. We have the widest range of formulations with 10, 20 and True 80% Colloidal Silver Solutions. We also produce our own effective, non sticky and soothing Balms and Salves. All contain our best colloidal silver and some also include moisturising organic coconut oil and essential, calming Bergamot oil. Try our Enhanced Colloidal Silver as an alternative treatment for a wide range of viral, fungal or bacterial conditions.	ask_question
106	does it have sunscreen in it	Intense Defense with Vitamin C Renewal CreamThis product replaces Vitamin C Renewal Cream. The antioxidant-intensive formula in the bottle remains unchanged. The antioxidant-intensive formula in the jar remains unchanged.RENEWAL CREAM is a rich, emollient moisturizer that encourages collagen and elastin production to strengthen skin's underlying support structure so the surface feels soft and resilient and signs of aging fade.StandardsCertified by QAI to NSF/ANSI 305, the American National Standard for personal care products containing organic ingredientsContains 70% organic content100% vegetarian ingredients<br>Directions Applying to freshly cleansed face and neck completes an antioxidant-intensive regimen. Maximize results by using at night while skin undergoes its natural renewal cycle. Intense Defense Sheer Moisture SPF 10 is recommended if sun exposure is expected.<br>Other Ingredients: Aloe Barbadensis Leaf Juice(1), Aqua (Water), Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil(1), Glycerin, Glyceryl Stearate, Myristyl Myristate, Glyceryl Stearate Citrate, Cetyl Alcohol, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter(1), Borago Officinalis Seed Oil(1), Linum Usitatissimum (Linseed) Seed Oil(1), Prunus Amygdalus Dulcis (Sweet Almond) Oil(1), Rosa Canina Fruit Oil(1), Arnica Montana Flower Extract(1), Calendula Officinalis Flower Extract(1), Camellia Sinensis Leaf Extract (White Tea)(1), Chamomilla Recutita (Matricaria) Flower Extract(1), Citrus Limon (Lemon) Peel Extract (Lemon Bioflavonoids), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract(1), Olea Europaea (Olive) Leaf Extract(1), Saccharomyces/Xylinum/Black Tea Ferment(1), Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ascorbic Acid, Polyglyceryl-6 Distearate, Squalane, Tocopheryl Acetate, Xanthan Gum, Alcohol(1), Glyceryl Ca	ask_question
32	I'm form Brazil. Do you send for me, if i buy?	Introduced in 1989. Fragrance notes are red roses and orchids blend with other exotic flowers honey and spice, very sensual. Recommended use for romantic wear.	ask_question
27	size		ask_question
103	How long does this brush last, Does it have a warranty?	"HELEN OF TROY Professional Tangle-Free Hot Air Brush Iron with removable, vented rotating barrel. Dual heat settings. 3/4"" A blow dryer and styling brush in one! Style and dry without annoying tangles! Features Soft-Grip textured handle and 8-ft. tangle-proof swivel cord. Soft, ball-tipped bristles gently grip hair, rest softly against the head', '', '"	ask_question
176	Does this product go on clear and dry fast enough to put clothing over it within a few minutes?	Rugby acne medication 10 percent treatment gel is the strongest benzoyl peroxide gel available. The 10 percent benzoyl peroxide, water based gel is the same maximum strength formula recommended by dermatologists. Rugby acne medication 10 percent gel zooms deep into pores where oil and bacteria live, killing bacteria and zapping zits, delivering the fastest results possible. For treatment and prevention of acne pimples, acne blemishes, blackheads or whiteheads. Rugby acne medication 10 percent treatment gel kills acne causing bacteria. Clears acne pimples and blackheads fast. Oil free, odorless gel vanishes as it clears your skin. The maximum strength formula in rugby acne medication 10 percent treatment gel is the same formula recommended by dermatologists.	ask_question
110	Does this have suscreen? I use Retinol A sometimes and I'm told you need sunscreen. Can you recommend another one of your products that does?	Intense Defense with Vitamin C Renewal CreamThis product replaces Vitamin C Renewal Cream. The antioxidant-intensive formula in the bottle remains unchanged. The antioxidant-intensive formula in the jar remains unchanged.RENEWAL CREAM is a rich, emollient moisturizer that encourages collagen and elastin production to strengthen skin's underlying support structure so the surface feels soft and resilient and signs of aging fade.StandardsCertified by QAI to NSF/ANSI 305, the American National Standard for personal care products containing organic ingredientsContains 70% organic content100% vegetarian ingredients<br>Directions Applying to freshly cleansed face and neck completes an antioxidant-intensive regimen. Maximize results by using at night while skin undergoes its natural renewal cycle. Intense Defense Sheer Moisture SPF 10 is recommended if sun exposure is expected.<br>Other Ingredients: Aloe Barbadensis Leaf Juice(1), Aqua (Water), Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil(1), Glycerin, Glyceryl Stearate, Myristyl Myristate, Glyceryl Stearate Citrate, Cetyl Alcohol, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter(1), Borago Officinalis Seed Oil(1), Linum Usitatissimum (Linseed) Seed Oil(1), Prunus Amygdalus Dulcis (Sweet Almond) Oil(1), Rosa Canina Fruit Oil(1), Arnica Montana Flower Extract(1), Calendula Officinalis Flower Extract(1), Camellia Sinensis Leaf Extract (White Tea)(1), Chamomilla Recutita (Matricaria) Flower Extract(1), Citrus Limon (Lemon) Peel Extract (Lemon Bioflavonoids), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract(1), Olea Europaea (Olive) Leaf Extract(1), Saccharomyces/Xylinum/Black Tea Ferment(1), Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ascorbic Acid, Polyglyceryl-6 Distearate, Squalane, Tocopheryl Acetate, Xanthan Gum, Alcohol(1), Glyceryl Ca	ask_question
4	Does it work for really long hair? I have fine hair but a lot of it.	Helen of Troy 1514 Brush Iron, White, 1 1/2 Inches Barrel	ask_question
119	What are the benefits of taking shower with sea kelp -moss soap?	Sea Kelp and Moss with Chamomile Herb and Organic Cocoa Butter Soap Sea Kelp is rich in nutrients and, is an excellent stimulant and exfoliate. The seaside scent in this natural beauty facial and body soap coupled with the invigorating hint of cocoa butter will make you feel like you are relaxing by the ocean. This Sea Kelp soap is rich in skin-nourishing . *Sea Kelp is rich in nutrients and, is an excellent stimulant and exfoliant. Sea herbs have been known to heal, hydrate, detoxify and re-mineralize the skin. Their amino acids, and slippery texture, act as a conditioner to the skin as well. Sea kelp gently polishes the skin, while the unrefined cocoa butter moisturizes . We also added chamomile herbs to stimulant exfoliating. This soap is amazingly refreshing in every shower. If you don't already know, the legendary Creme de la Mer was created by physicist Dr. Max Huber who had suffered burns in a lab accident. As his personal mission to help his burn scars and transform his skin, Huber created many products sea kelp is one of the key ingredients in the La Mer products. You can see a list of our current soaps at https://www.amazon.com/handmade/naturalhandcraftedsoapcompany	ask_question
241	gem size?	"""SO Fashion Nail Art: Every girl likes beautiful things.this rhinestone gems would be perfect decorations for your nail art. Not only its premium material,but also its elegant quality will be your first choice. These premium mash rhinestones can be applied with top coat or glue. These premium rhinestones are so beautiful, and so affordable. Color:Show as pictures. What you get: 1 *FOONEE, FOONEE Rhinestones Nail Art Gems Mixed Colours Shapes in Case. FOONEE is a famous worldwide brand of beauty and healthy products."	ask_question
307	Can I use parrifin wax instead of emulsifying wax		ask_question
107	Is the container sealed?	Intense Defense with Vitamin C Renewal CreamThis product replaces Vitamin C Renewal Cream. The antioxidant-intensive formula in the bottle remains unchanged. The antioxidant-intensive formula in the jar remains unchanged.RENEWAL CREAM is a rich, emollient moisturizer that encourages collagen and elastin production to strengthen skin's underlying support structure so the surface feels soft and resilient and signs of aging fade.StandardsCertified by QAI to NSF/ANSI 305, the American National Standard for personal care products containing organic ingredientsContains 70% organic content100% vegetarian ingredients<br>Directions Applying to freshly cleansed face and neck completes an antioxidant-intensive regimen. Maximize results by using at night while skin undergoes its natural renewal cycle. Intense Defense Sheer Moisture SPF 10 is recommended if sun exposure is expected.<br>Other Ingredients: Aloe Barbadensis Leaf Juice(1), Aqua (Water), Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil(1), Glycerin, Glyceryl Stearate, Myristyl Myristate, Glyceryl Stearate Citrate, Cetyl Alcohol, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter(1), Borago Officinalis Seed Oil(1), Linum Usitatissimum (Linseed) Seed Oil(1), Prunus Amygdalus Dulcis (Sweet Almond) Oil(1), Rosa Canina Fruit Oil(1), Arnica Montana Flower Extract(1), Calendula Officinalis Flower Extract(1), Camellia Sinensis Leaf Extract (White Tea)(1), Chamomilla Recutita (Matricaria) Flower Extract(1), Citrus Limon (Lemon) Peel Extract (Lemon Bioflavonoids), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract(1), Olea Europaea (Olive) Leaf Extract(1), Saccharomyces/Xylinum/Black Tea Ferment(1), Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ascorbic Acid, Polyglyceryl-6 Distearate, Squalane, Tocopheryl Acetate, Xanthan Gum, Alcohol(1), Glyceryl Ca	ask_question
291	what makes your product better then those available from China?		ask_question
31	Dear handytc, Is this newer version with square top or older version with rounded top? Thx	Introduced in 1989. Fragrance notes are red roses and orchids blend with other exotic flowers honey and spice, very sensual. Recommended use for romantic wear.	ask_question
193	I'm looking for something to wear at night when I put oil on my hair. Does this prevent oil from getting on your pillowcase? Thanks	Black sleeping cap. Satin material with comfortable elastic band.	ask_question
73	Does the powder contain talc?	A classic since 1935, Jean Nate's silkening body powder will leave you feel silky smooth and soft throughout the day.	ask_question
7	Are the bristles longer or shorter. I have ordered a few of these same irons and some have longer bristles and some have shorter bristles.	Helen of Troy 1514 Brush Iron, White, 1 1/2 Inches Barrel	ask_question
274	How to use it for hair?	Over 1 million bottles sold in more than 35 countries, Poppy Austin 100% Pure Organic Argan Oil is one of the most talked about and sought-after brands in the USA. An exquisite, luxurious and triple purified Moroccan argan oil. Made by hand, cold pressed and responsibly sourced using the only the very finest yet sustainable organic argan nuts. See immediate results from this extremely lightweight, delicate, and quick to absorb natural oil. Free from parabens, fillers, artificial colors and fragrances. Creates naturally soft, luminous and manageable hair with one application - Hydrates frizzy and problematic hair, making it easier to style and manage - Nourishes, restores, and strengthens over-processed, damaged, and brittle hair - 100% organic moisturiser for all skin types, including dry, rough and sensitive skin - Packed with skin-loving Vitamin E, essential fatty acids and natural antioxidants - Can be used to tackle problem areas such as psoriasis, eczema and stretch marks. Batch: December 2018, A Poppy Austin original product. Dispatched and sent directly by Amazon from a local Amazon warehouse.	ask_question
213	is this product a non nano zinc oxide or synthetic?		ask_question
229	Should I wash the brushes before I use them?	Color:Gold<br>Big eyes and long eyelashes are important parts in a beautiful look. Many girls have to apply thick mascara or stick false eyelashes for longer eyelashes, do you have the same trouble as them?<br>-False eyelashes: glues are harmful to the eyelids and may cause pore necrosis.<br>-Mascara: remover is difficult and may make eyelashes / eyebrows fragile and easier to break.<br>-Eyelashes extension / tattoo eyebrows: high cost and may do harm to the original eyelashes / eyebrows.<br><br>Now, stop hurting your eyelashes / eyebrows. Let the Fiery Youth eyelash growth serum give you 100% REAL and HEALTHY eyelashes.<br><br>FUNCTIONS<br>-Protect eyelashes: Prevent damage caused by the external environment, strong eyelashes / eyebrow roots to prevent shedding.<br>-Deeply energize hair follicles: Repair hair follicles caused by sticky false eyelashes, grafted eyelashes and tattoos.<br>-Consolidate the skin base: Soften and purify the base skin around the eyelashes/eyebrows and improve the eyelash base environment.<br>-Nourishing and moisturizing:Provide sufficient nourishment for eyelashes/eyebrows to accelerate the growth of eyelashes/eyebrows.<br>-Gentle and non-irritating: Contain a variety of natural plant extracts, mild, safe, non- irritating.<br><br>INSTRUCTIONS<br>Apply it 1-2 times a day. After cleansing your face, apply the eyelash growth liquid evenly to the base of upper and lower eyelashes, or the eyebrows.<br><br>GREAT RESULTS <br>After using it regularly, users will notice a 20% increase in the thickness and length of eyelashes after 4-6 weeks, and a 50% increase after 60 days.<br><br>GUARANTEE<br>A small portion of users may not respond to the formula. If you are not satisfied after using this product uninterruptedly for 60 days as recommended, feel free to contact us for 100% REFUND. There is literally no risk for you, so don't hesitate to try our eyelash serum.	ask_question
68	i am highly disappointed. The packaging is different and it doesn't have Jean sean signature on it! it is rather written! Did i just buy fake product?	Unforgivable cologne by Sean John is a visceral fragrance that blends chemistry and emotion. It stimulates the senses in ways never imagined and is a rare blend of pure, uncontained, and unrestrained emotion. Its essence is inspired by a life lived and savored to the fullest. It's sleek, smooth blend reinvents masculine style with classic luxury. The Unforgivable man is distinctive with a driving passion. Unforgivable cologne fuses cashmere accord with rum and amber, achieving a peak that is both sexy and seductive. A breathtaking fragrance that says, sexy, rich, unique, and passionate, with a soul that is slightly dangerous and explosive, yet cool. Notes include Sicilian Lemon, Italian Bergamot, Green Mandarin, Moroccan Tangerine, Grapefruit, Juniper Leaves, Birch Leaves, Champagne Accord, Mediterranean Air Accord, Tuscan Basil, Florentine Iris, Clay Sage, Lavender, Cashmere Accord, Australian Sandalwood, Amber, Tonka Bean, Rum.	ask_question
105	What is the wattage? I am looking for more than 250 watts.	"HELEN OF TROY Professional Tangle-Free Hot Air Brush Iron with removable, vented rotating barrel. Dual heat settings. 3/4"" A blow dryer and styling brush in one! Style and dry without annoying tangles! Features Soft-Grip textured handle and 8-ft. tangle-proof swivel cord. Soft, ball-tipped bristles gently grip hair, rest softly against the head', '', '"	ask_question
270	Can you describe the scent of this oil? Is it like the line of Moroccan Oil products in the blue box?	Over 1 million bottles sold in more than 35 countries, Poppy Austin 100% Pure Organic Argan Oil is one of the most talked about and sought-after brands in the USA. An exquisite, luxurious and triple purified Moroccan argan oil. Made by hand, cold pressed and responsibly sourced using the only the very finest yet sustainable organic argan nuts. See immediate results from this extremely lightweight, delicate, and quick to absorb natural oil. Free from parabens, fillers, artificial colors and fragrances. Creates naturally soft, luminous and manageable hair with one application - Hydrates frizzy and problematic hair, making it easier to style and manage - Nourishes, restores, and strengthens over-processed, damaged, and brittle hair - 100% organic moisturiser for all skin types, including dry, rough and sensitive skin - Packed with skin-loving Vitamin E, essential fatty acids and natural antioxidants - Can be used to tackle problem areas such as psoriasis, eczema and stretch marks. Batch: December 2018, A Poppy Austin original product. Dispatched and sent directly by Amazon from a local Amazon warehouse.	ask_question
272	How does this work on combination skin? Does it cause breakouts?	Over 1 million bottles sold in more than 35 countries, Poppy Austin 100% Pure Organic Argan Oil is one of the most talked about and sought-after brands in the USA. An exquisite, luxurious and triple purified Moroccan argan oil. Made by hand, cold pressed and responsibly sourced using the only the very finest yet sustainable organic argan nuts. See immediate results from this extremely lightweight, delicate, and quick to absorb natural oil. Free from parabens, fillers, artificial colors and fragrances. Creates naturally soft, luminous and manageable hair with one application - Hydrates frizzy and problematic hair, making it easier to style and manage - Nourishes, restores, and strengthens over-processed, damaged, and brittle hair - 100% organic moisturiser for all skin types, including dry, rough and sensitive skin - Packed with skin-loving Vitamin E, essential fatty acids and natural antioxidants - Can be used to tackle problem areas such as psoriasis, eczema and stretch marks. Batch: December 2018, A Poppy Austin original product. Dispatched and sent directly by Amazon from a local Amazon warehouse.	ask_question
314	is it really tiny size or normal size	<br>Package Include: <br>40PCS Fashion Surgical Stainless Steel Nose Lip Bar Stud Ring Body Piercing	ask_question
108	what does it look like, a cream? a jar I bought is half filled with something that looks like oil that has been solidified by being in the cold.	Intense Defense with Vitamin C Renewal CreamThis product replaces Vitamin C Renewal Cream. The antioxidant-intensive formula in the bottle remains unchanged. The antioxidant-intensive formula in the jar remains unchanged.RENEWAL CREAM is a rich, emollient moisturizer that encourages collagen and elastin production to strengthen skin's underlying support structure so the surface feels soft and resilient and signs of aging fade.StandardsCertified by QAI to NSF/ANSI 305, the American National Standard for personal care products containing organic ingredientsContains 70% organic content100% vegetarian ingredients<br>Directions Applying to freshly cleansed face and neck completes an antioxidant-intensive regimen. Maximize results by using at night while skin undergoes its natural renewal cycle. Intense Defense Sheer Moisture SPF 10 is recommended if sun exposure is expected.<br>Other Ingredients: Aloe Barbadensis Leaf Juice(1), Aqua (Water), Caprylic/Capric Triglyceride, Helianthus Annuus (Sunflower) Seed Oil(1), Glycerin, Glyceryl Stearate, Myristyl Myristate, Glyceryl Stearate Citrate, Cetyl Alcohol, Stearyl Alcohol, Butyrospermum Parkii (Shea) Butter(1), Borago Officinalis Seed Oil(1), Linum Usitatissimum (Linseed) Seed Oil(1), Prunus Amygdalus Dulcis (Sweet Almond) Oil(1), Rosa Canina Fruit Oil(1), Arnica Montana Flower Extract(1), Calendula Officinalis Flower Extract(1), Camellia Sinensis Leaf Extract (White Tea)(1), Chamomilla Recutita (Matricaria) Flower Extract(1), Citrus Limon (Lemon) Peel Extract (Lemon Bioflavonoids), Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract(1), Olea Europaea (Olive) Leaf Extract(1), Saccharomyces/Xylinum/Black Tea Ferment(1), Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Limon (Lemon) Peel Oil, Ascorbic Acid, Polyglyceryl-6 Distearate, Squalane, Tocopheryl Acetate, Xanthan Gum, Alcohol(1), Glyceryl Ca	ask_question
121	Lilac Jasmine Soap For Sensitive Skin. Jasmine and lilac is a gentle soap for sensitive skin?		ask_question
177	Does it help to lighten dark marks on face as well as get rid of acne?	Rugby acne medication 10 percent treatment gel is the strongest benzoyl peroxide gel available. The 10 percent benzoyl peroxide, water based gel is the same maximum strength formula recommended by dermatologists. Rugby acne medication 10 percent gel zooms deep into pores where oil and bacteria live, killing bacteria and zapping zits, delivering the fastest results possible. For treatment and prevention of acne pimples, acne blemishes, blackheads or whiteheads. Rugby acne medication 10 percent treatment gel kills acne causing bacteria. Clears acne pimples and blackheads fast. Oil free, odorless gel vanishes as it clears your skin. The maximum strength formula in rugby acne medication 10 percent treatment gel is the same formula recommended by dermatologists.	ask_question
183	How does the product soak in the eye area? Is it not in some kind of plastic /other holder?	Increases the content of collagen in the skin and provides a strong lifting effect, improves elasticity, smooths wrinkles and intensely moisturizes, slows the aging process and improves blood circulation. As a result, the skin looks rejuvenated and full with vital energy. Biological gold creates the conduction effect and improves skin's ability to absorb active herbal ingredients, ensures long-term moisturizing effect, helps to regenerate skin cells, protects the skin from wrinkle's formation and slows the aging process. It is recommended to apply cosmetics based on bio-gold for those who are 35 years old or older.	ask_question
88	How much does the hand piece weigh?	Medicool Pro Power 30K is a professional quality manicure and pedicure file machine designed specifically for the demanding, professional nail technician. It's powerful, lightweight and has the capability of completing any manicure or pedicure service	ask_question
261	can i use it to dye all my hair even if my hair is not gray i have a black hair and dose it come off esey	STYLE EDIT by Style Edit CONCEAL YOUR GRAYS-MEDIUM/LIGHT BROWN 2 OZ	ask_question
157	What kind of box does this come in? I know somebody who wants one, but I was also going to put a piece of jewelry on the wrist.Weird question, I know	The Diane Practice Hand is perfect for students and professional nail technicians. Great for practicing all types of nail applications. Accomodates acrylic applications.	ask_question
210	is this 100% natural or organic zinc oxide? Is it nano-particle or non nano particle?		ask_question
9	Are the bristles hard or soft and if they are soft bristles, does your hair get tangled?	Helen of Troy 1514 Brush Iron, White, 1 1/2 Inches Barrel	ask_question
283	Once you fill this bottle with your serum and use it until it is empty again, is it refillable? I have seen them be non refillable and some are refillable.		ask_question
287	would this work for a DIY toothpaste?		ask_question
289	Is this plastic or glass?		ask_question
102	Is this hot air brush going to work in Europe?	"HELEN OF TROY Professional Tangle-Free Hot Air Brush Iron with removable, vented rotating barrel. Dual heat settings. 3/4"" A blow dryer and styling brush in one! Style and dry without annoying tangles! Features Soft-Grip textured handle and 8-ft. tangle-proof swivel cord. Soft, ball-tipped bristles gently grip hair, rest softly against the head', '', '"	ask_question
138	What are the dimensions of the bulbs?	The Jerdon JPT25W 25-Watt Light Bulbs Replacement Pack is ideal for replacing existing bulbs that have grown old and burnt out. These 25-watt incandescent bulbs are specifically designed for lighted mirrors. These bulbs are a quick fix for your mirror in need and come in a 2-pack. The Jerdon JPT25W 25-Watt Light Bulbs Replacement Pack come with a 1-year limited warranty that protects against any defects due to faulty material or workmanship. The Jerdon Style company has earned a reputation for excellence in the beauty industry with its broad range of quality cosmetic mirrors (including vanity, lighted and wall mount mirrors), hair dryers and other styling appliances. Since 1977, the Jerdon brand has been a leading provider to the finest homes, hotels, resorts, cruise ships and spas worldwide. The company continues to build its position in the market by both improving its existing line with the latest technology, developing new products and expanding its offerings to meet the growing needs of its customers.	ask_question
140	Are these bulbs for 115V AC or 12V DC?	The Jerdon JPT25W 25-Watt Light Bulbs Replacement Pack is ideal for replacing existing bulbs that have grown old and burnt out. These 25-watt incandescent bulbs are specifically designed for lighted mirrors. These bulbs are a quick fix for your mirror in need and come in a 2-pack. The Jerdon JPT25W 25-Watt Light Bulbs Replacement Pack come with a 1-year limited warranty that protects against any defects due to faulty material or workmanship. The Jerdon Style company has earned a reputation for excellence in the beauty industry with its broad range of quality cosmetic mirrors (including vanity, lighted and wall mount mirrors), hair dryers and other styling appliances. Since 1977, the Jerdon brand has been a leading provider to the finest homes, hotels, resorts, cruise ships and spas worldwide. The company continues to build its position in the market by both improving its existing line with the latest technology, developing new products and expanding its offerings to meet the growing needs of its customers.	ask_question
11	Why isn't this product made with stronger bristles that don't easily break?	Helen of Troy 1514 Brush Iron, White, 1 1/2 Inches Barrel	ask_question
313	Because they are so cheap and I break out easily, I wanted to know if anyone has broken out from them?	<br>Package Include: <br>40PCS Fashion Surgical Stainless Steel Nose Lip Bar Stud Ring Body Piercing	ask_question
305	Is this a complete emulsifier?		ask_question
248	How does it smell? I've read the smell is overwhelming.		ask_question
247	i did not see expiration date how long can i keep use this product after first use ??		ask_question
214	What's the wash-off-ability of this powder, if added straight 2 skin? Wash off thorougly w/soap/cleanser, w/no residue? Pls help thx.		ask_question
173	Does it shut off automatically after a certain number of hours?	Soothes and nourishes skin and nails while replenishing the natural moisture balance in hands. Helps relieve the pain of arthritis and other painful conditions.	ask_question
99	Does it have high and low heat settings?	"HELEN OF TROY Professional Tangle-Free Hot Air Brush Iron with removable, vented rotating barrel. Dual heat settings. 3/4"" A blow dryer and styling brush in one! Style and dry without annoying tangles! Features Soft-Grip textured handle and 8-ft. tangle-proof swivel cord. Soft, ball-tipped bristles gently grip hair, rest softly against the head', '', '"	ask_question
273	Why doesn't the bottle have a organic or ecco cert logos?	Over 1 million bottles sold in more than 35 countries, Poppy Austin 100% Pure Organic Argan Oil is one of the most talked about and sought-after brands in the USA. An exquisite, luxurious and triple purified Moroccan argan oil. Made by hand, cold pressed and responsibly sourced using the only the very finest yet sustainable organic argan nuts. See immediate results from this extremely lightweight, delicate, and quick to absorb natural oil. Free from parabens, fillers, artificial colors and fragrances. Creates naturally soft, luminous and manageable hair with one application - Hydrates frizzy and problematic hair, making it easier to style and manage - Nourishes, restores, and strengthens over-processed, damaged, and brittle hair - 100% organic moisturiser for all skin types, including dry, rough and sensitive skin - Packed with skin-loving Vitamin E, essential fatty acids and natural antioxidants - Can be used to tackle problem areas such as psoriasis, eczema and stretch marks. Batch: December 2018, A Poppy Austin original product. Dispatched and sent directly by Amazon from a local Amazon warehouse.	ask_question
79	Do the purples rods bend or no? It seem like some people had problems with the purple rods bending.	"Zippered carry case includes: 2 packs of purple (7/8""), 2 packs of grey ( 3/4""), 2 packs of orange ( 5/8""), 1 pack of blue ( 1/2""), 1 pack of red ( 7/16""), 1 pack of yellow ( 3/8""), 1 pack of green ( 1/4"")."	ask_question
225	Are they soft???	Color:Gold<br>Big eyes and long eyelashes are important parts in a beautiful look. Many girls have to apply thick mascara or stick false eyelashes for longer eyelashes, do you have the same trouble as them?<br>-False eyelashes: glues are harmful to the eyelids and may cause pore necrosis.<br>-Mascara: remover is difficult and may make eyelashes / eyebrows fragile and easier to break.<br>-Eyelashes extension / tattoo eyebrows: high cost and may do harm to the original eyelashes / eyebrows.<br><br>Now, stop hurting your eyelashes / eyebrows. Let the Fiery Youth eyelash growth serum give you 100% REAL and HEALTHY eyelashes.<br><br>FUNCTIONS<br>-Protect eyelashes: Prevent damage caused by the external environment, strong eyelashes / eyebrow roots to prevent shedding.<br>-Deeply energize hair follicles: Repair hair follicles caused by sticky false eyelashes, grafted eyelashes and tattoos.<br>-Consolidate the skin base: Soften and purify the base skin around the eyelashes/eyebrows and improve the eyelash base environment.<br>-Nourishing and moisturizing:Provide sufficient nourishment for eyelashes/eyebrows to accelerate the growth of eyelashes/eyebrows.<br>-Gentle and non-irritating: Contain a variety of natural plant extracts, mild, safe, non- irritating.<br><br>INSTRUCTIONS<br>Apply it 1-2 times a day. After cleansing your face, apply the eyelash growth liquid evenly to the base of upper and lower eyelashes, or the eyebrows.<br><br>GREAT RESULTS <br>After using it regularly, users will notice a 20% increase in the thickness and length of eyelashes after 4-6 weeks, and a 50% increase after 60 days.<br><br>GUARANTEE<br>A small portion of users may not respond to the formula. If you are not satisfied after using this product uninterruptedly for 60 days as recommended, feel free to contact us for 100% REFUND. There is literally no risk for you, so don't hesitate to try our eyelash serum.	ask_question
38	what is the difference between the perfume and the toilette spray	Introduced in 1989. Fragrance notes are red roses and orchids blend with other exotic flowers honey and spice, very sensual. Recommended use for romantic wear.	ask_question
238	Does this product contain honey? I do not use products that contain honey but I cannot find an ingredient list online.	Nature's boost for fine hair, our style-prep infuses all-day weightless volume that feels naturally yours.	ask_question
14	Does this have colorant?	Water-Rosewater Heritage Store 8 oz Liquid	ask_question
169	What is the voltage range on this product? Is it only 110-120v? Or is it 100-240v? Inquiring minds wanna know...	Soothes and nourishes skin and nails while replenishing the natural moisture balance in hands. Helps relieve the pain of arthritis and other painful conditions.	ask_question
19	Is this food grade?	Water-Rosewater Heritage Store 8 oz Liquid	ask_question
66	Size of perfume: Can the seller please clear the confusion whether this bottle is 2.6 oz or 4.2 Oz???	Unforgivable cologne by Sean John is a visceral fragrance that blends chemistry and emotion. It stimulates the senses in ways never imagined and is a rare blend of pure, uncontained, and unrestrained emotion. Its essence is inspired by a life lived and savored to the fullest. It's sleek, smooth blend reinvents masculine style with classic luxury. The Unforgivable man is distinctive with a driving passion. Unforgivable cologne fuses cashmere accord with rum and amber, achieving a peak that is both sexy and seductive. A breathtaking fragrance that says, sexy, rich, unique, and passionate, with a soul that is slightly dangerous and explosive, yet cool. Notes include Sicilian Lemon, Italian Bergamot, Green Mandarin, Moroccan Tangerine, Grapefruit, Juniper Leaves, Birch Leaves, Champagne Accord, Mediterranean Air Accord, Tuscan Basil, Florentine Iris, Clay Sage, Lavender, Cashmere Accord, Australian Sandalwood, Amber, Tonka Bean, Rum.	ask_question
131	Is there an ingredients list? If so is latex on there in any form?	Toss the tape and move without worry. Bell-Horn It Stays Roll-On Body Adhesive can be used in numerous industries such as medical, athletics, theater and fashion. Providing extra level of support, It Stays Roll-On Body Adhesive is excellent to keep surgical stockings, anti-embolism stockings, orthopedic supports and elastic/neoprene wraps securely in place. Athletes can use It Stays Roll-On Body Adhesive to secure shin guards, knee pads, elbow pads, shoulder pads or socks so they can focus on their sport. It can even be used for fashion garments or theatrical accessories. Use on strapless bras, bridal gowns, low-cut dresses, costume wigs or beards with ease! Easy to use, simply roll on where desired application is needed. When finished, simply wash with water.	ask_question
2	Can this be used on wet hair?	Helen of Troy 1514 Brush Iron, White, 1 1/2 Inches Barrel	ask_question
